Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.031,11339800.000,-90.257
1200.000,13.207,9950670.000,-82.601
1250.000,13.025,9700590.000,-82.668
1500.000,12.207,8666440.000,-85.225
1600.000,12.510,7942090.000,-87.627
1660.000,12.728,7538640.000,-88.751
2000.000,13.907,5721740.000,-90.644
2400.000,13.932,4758130.000,-89.477
2500.000,13.956,4560930.000,-89.282
3000.000,13.806,3841300.000,-91.462
3200.000,13.786,3607080.000,-90.876
3330.000,13.789,3465760.000,-90.523
4000.000,13.922,2857080.000,-89.213
4800.000,13.892,2386970.000,-89.284
5000.000,13.881,2293080.000,-89.297
6000.000,13.949,1901600.000,-89.422
6400.000,13.927,1785560.000,-89.418
6660.000,13.914,1717380.000,-89.414
8000.000,13.859,1435480.000,-89.404
9600.000,13.840,1198070.000,-89.721
10000.000,13.837,1150180.000,-89.809
12000.000,13.799,961142.000,-89.563
12500.000,13.807,922154.000,-89.574
15000.000,13.842,766512.000,-89.627
16000.000,13.833,719095.000,-89.529
16600.000,13.828,693333.000,-89.476
20000.000,13.813,576068.000,-89.147
24000.000,13.767,481688.000,-89.375
25000.000,13.758,462695.000,-89.439
30000.000,13.807,384225.000,-89.337
32000.000,13.779,360935.000,-89.563
33300.000,13.768,347143.000,-89.722
40000.000,13.797,288376.000,-90.590
48000.000,13.745,241224.000,-89.708
50000.000,13.746,231555.000,-89.510
60000.000,13.693,193708.000,-89.334
64000.000,13.685,181715.000,-89.316
66600.000,13.680,174676.000,-89.305
80000.000,13.657,145656.000,-89.259
96000.000,13.643,121512.000,-89.279
100000.000,13.641,116670.000,-89.278
120000.000,13.619,97377.600,-89.272
125000.000,13.620,93478.300,-89.261
150000.000,13.619,77900.800,-89.223
160000.000,13.602,73123.700,-89.205
166000.000,13.593,70529.500,-89.196
200000.000,13.548,58732.900,-89.143
240000.000,13.530,49009.600,-89.127
250000.000,13.526,47062.400,-89.124
300000.000,13.498,39299.400,-89.105
320000.000,13.499,36841.600,-89.115
333000.000,13.499,35402.200,-89.120
400000.000,13.500,29470.300,-89.150
480000.000,13.480,24594.500,-89.058
500000.000,13.476,23617.500,-89.035
600000.000,13.461,19703.200,-89.035
640000.000,13.463,18469.100,-89.036
666000.000,13.465,17746.300,-89.032
800000.000,13.474,14763.200,-89.028
960000.000,13.491,12287.000,-88.983
1000000.000,13.777,11550.800,-88.991
#,#,#,#
