Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,16.245,9800720.0,-90.234
1200.0,15.419,8549800.0,-83.61
1250.0,15.232,8306520.0,-83.75
1500.0,14.412,7340220.0,-85.79
1600.0,14.724,6748230.0,-87.962
1660.0,14.93,6421860.0,-88.903
2000.0,16.116,4939620.0,-90.554
2400.0,16.153,4106010.0,-89.539
2500.0,16.168,3937220.0,-89.373
3000.0,16.019,3311740.0,-91.248
3200.0,15.999,3108430.0,-90.746
3330.0,16.001,2986760.0,-90.434
4000.0,16.136,2465230.0,-89.302
4800.0,16.098,2059150.0,-89.368
5000.0,16.093,1977860.0,-89.373
6000.0,16.159,1641380.0,-89.484
6400.0,16.137,1540980.0,-89.477
6660.0,16.123,1481940.0,-89.472
8000.0,16.069,1238110.0,-89.462
9600.0,16.05,1033130.0,-89.73
10000.0,16.046,991842.0,-89.802
12000.0,16.005,828616.0,-89.588
12500.0,16.014,795038.0,-89.597
15000.0,16.047,661135.0,-89.64
16000.0,16.038,620178.0,-89.558
16600.0,16.033,597951.0,-89.507
20000.0,16.017,496773.0,-89.221
24000.0,15.969,415229.0,-89.416
25000.0,15.96,398847.0,-89.47
30000.0,16.007,331393.0,-89.379
32000.0,15.979,311233.0,-89.57
33300.0,15.967,299309.0,-89.708
40000.0,15.994,248754.0,-90.451
48000.0,15.941,207991.0,-89.692
50000.0,15.942,199658.0,-89.52
60000.0,15.886,166967.0,-89.365
64000.0,15.878,156611.0,-89.35
66600.0,15.872,150547.0,-89.338
80000.0,15.847,125528.0,-89.299
96000.0,15.831,104717.0,-89.312
100000.0,15.828,100547.0,-89.311
120000.0,15.805,83912.1,-89.299
125000.0,15.804,80555.4,-89.291
150000.0,15.801,67141.8,-89.257
160000.0,15.784,63015.5,-89.241
166000.0,15.774,60775.4,-89.232
200000.0,15.727,50593.2,-89.186
240000.0,15.708,42213.7,-89.17
250000.0,15.703,40535.7,-89.167
300000.0,15.673,33844.5,-89.15
320000.0,15.674,31727.1,-89.157
333000.0,15.674,30489.0,-89.164
400000.0,15.675,25380.9,-89.186
480000.0,15.656,21176.5,-89.104
500000.0,15.652,20334.1,-89.083
600000.0,15.639,16959.6,-89.08
640000.0,15.642,15895.7,-89.079
666000.0,15.645,15273.0,-89.078
800000.0,15.659,12702.5,-89.068
960000.0,15.685,10568.4,-89.024
1000000.0,15.975,9961.05,-89.02
