Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,15.047,10575500.0,-90.262
1200.0,14.207,9259510.0,-83.033
1250.0,14.031,9012910.0,-83.204
1500.0,13.239,8007460.0,-85.571
1600.0,13.523,7353250.0,-87.784
1660.0,13.724,6975810.0,-88.821
2000.0,14.913,5334940.0,-90.592
2400.0,14.952,4437660.0,-89.503
2500.0,14.965,4253240.0,-89.337
3000.0,14.815,3580560.0,-91.375
3200.0,14.798,3361170.0,-90.812
3330.0,14.8,3229090.0,-90.481
4000.0,14.937,2663630.0,-89.251
4800.0,14.9,2225240.0,-89.313
5000.0,14.891,2137340.0,-89.327
6000.0,14.958,1773460.0,-89.449
6400.0,14.936,1664860.0,-89.439
6660.0,14.923,1601330.0,-89.437
8000.0,14.867,1338010.0,-89.419
9600.0,14.848,1116450.0,-89.715
10000.0,14.845,1072040.0,-89.793
12000.0,14.805,895780.0,-89.557
12500.0,14.815,859444.0,-89.569
15000.0,14.85,714518.0,-89.609
16000.0,14.838,670320.0,-89.522
16600.0,14.833,646347.0,-89.469
20000.0,14.817,537018.0,-89.159
24000.0,14.77,448977.0,-89.368
25000.0,14.761,431278.0,-89.425
30000.0,14.807,358263.0,-89.328
32000.0,14.779,336524.0,-89.533
33300.0,14.767,323648.0,-89.682
40000.0,14.794,268951.0,-90.486
48000.0,14.741,224934.0,-89.663
50000.0,14.741,215926.0,-89.477
60000.0,14.685,180612.0,-89.308
64000.0,14.677,169425.0,-89.293
66600.0,14.671,162873.0,-89.279
80000.0,14.647,135823.0,-89.238
96000.0,14.629,113317.0,-89.252
100000.0,14.626,108806.0,-89.25
120000.0,14.603,90818.0,-89.243
125000.0,14.603,87185.6,-89.232
150000.0,14.599,72668.8,-89.195
160000.0,14.582,68211.2,-89.179
166000.0,14.572,65789.6,-89.169
200000.0,14.525,54782.3,-89.12
240000.0,14.505,45715.0,-89.105
250000.0,14.5,43899.9,-89.1
300000.0,14.469,36660.9,-89.083
320000.0,14.469,34368.6,-89.091
333000.0,14.47,33027.5,-89.095
400000.0,14.469,27496.3,-89.124
480000.0,14.447,22947.8,-89.037
500000.0,14.443,22035.8,-89.016
600000.0,14.427,18383.7,-89.014
640000.0,14.429,17232.2,-89.015
666000.0,14.43,16557.9,-89.013
800000.0,14.441,13774.9,-89.006
960000.0,14.459,11464.4,-88.964
1000000.0,14.746,10791.1,-88.965
