Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.678,9546000.000,-89.947
1200.000,15.824,8321580.000,-83.460
1250.000,15.641,8089080.000,-83.632
1500.000,14.825,7147250.000,-85.703
1600.000,15.124,6569600.000,-87.765
1660.000,15.329,6245230.000,-88.703
2000.000,16.509,4821330.000,-90.305
2400.000,16.516,4011750.000,-89.317
2500.000,16.553,3845810.000,-89.149
3000.000,16.391,3235910.000,-90.996
3200.000,16.370,3037870.000,-90.497
3330.000,16.374,2919060.000,-90.191
4000.000,16.500,2411470.000,-89.103
4800.000,16.461,2014180.000,-89.165
5000.000,16.447,1934970.000,-89.172
6000.000,16.506,1606700.000,-89.288
6400.000,16.482,1508530.000,-89.279
6660.000,16.468,1450990.000,-89.276
8000.000,16.404,1212550.000,-89.264
9600.000,16.378,1012020.000,-89.534
10000.000,16.375,971873.000,-89.608
12000.000,16.329,812221.000,-89.399
12500.000,16.336,779360.000,-89.409
15000.000,16.363,648358.000,-89.453
16000.000,16.352,608263.000,-89.370
16600.000,16.345,586523.000,-89.322
20000.000,16.323,487453.000,-89.044
24000.000,16.269,407562.000,-89.237
25000.000,16.259,391511.000,-89.289
30000.000,16.300,325425.000,-89.200
32000.000,16.270,305672.000,-89.390
33300.000,16.257,293978.000,-89.524
40000.000,16.278,244431.000,-90.259
48000.000,16.219,204436.000,-89.508
50000.000,16.218,196258.000,-89.340
60000.000,16.157,164164.000,-89.187
64000.000,16.146,154001.000,-89.171
66600.000,16.139,148055.000,-89.161
80000.000,16.108,123492.000,-89.121
96000.000,16.085,103054.000,-89.133
100000.000,16.081,98958.100,-89.131
120000.000,16.052,82616.900,-89.121
125000.000,16.050,79318.500,-89.111
150000.000,16.041,66133.900,-89.077
160000.000,16.021,62077.000,-89.061
166000.000,16.010,59876.800,-89.052
200000.000,15.957,49862.000,-89.004
240000.000,15.931,41618.700,-88.987
250000.000,15.925,39968.600,-88.983
300000.000,15.889,33382.900,-88.965
320000.000,15.887,31300.100,-88.973
333000.000,15.886,30080.400,-88.979
400000.000,15.880,25051.400,-89.000
480000.000,15.854,20909.700,-88.918
500000.000,15.849,20079.700,-88.897
600000.000,15.830,16753.700,-88.895
640000.000,15.831,15705.200,-88.893
666000.000,15.832,15091.200,-88.891
800000.000,15.841,12556.600,-88.883
960000.000,15.860,10451.000,-88.840
1000000.000,16.144,9856.670,-88.844
#,#,#,#
