Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.339,9734540.000,-90.175
1200.000,15.517,8487980.000,-83.586
1250.000,15.318,8266270.000,-83.727
1500.000,14.505,7298570.000,-85.788
1600.000,14.807,6713850.000,-87.914
1660.000,15.016,6383120.000,-88.880
2000.000,16.200,4912670.000,-90.484
2400.000,16.214,4090020.000,-89.545
2500.000,16.248,3917210.000,-89.324
3000.000,16.099,3294810.000,-91.203
3200.000,16.076,3092950.000,-90.693
3330.000,16.080,2972380.000,-90.381
4000.000,16.213,2453850.000,-89.261
4800.000,16.175,2049240.000,-89.312
5000.000,16.168,1968820.000,-89.333
6000.000,16.231,1633940.000,-89.434
6400.000,16.209,1534010.000,-89.427
6660.000,16.196,1475250.000,-89.421
8000.000,16.139,1232590.000,-89.408
9600.000,16.116,1028650.000,-89.684
10000.000,16.114,987604.000,-89.749
12000.000,16.073,825108.000,-89.531
12500.000,16.081,791711.000,-89.542
15000.000,16.113,658452.000,-89.582
16000.000,16.103,617663.000,-89.498
16600.000,16.098,595568.000,-89.448
20000.000,16.080,494844.000,-89.161
24000.000,16.030,413665.000,-89.354
25000.000,16.021,397348.000,-89.406
30000.000,16.066,330200.000,-89.314
32000.000,16.038,310126.000,-89.504
33300.000,16.024,298260.000,-89.641
40000.000,16.049,247918.000,-90.381
48000.000,15.993,207320.000,-89.621
50000.000,15.994,199021.000,-89.448
60000.000,15.936,166448.000,-89.291
64000.000,15.926,156141.000,-89.275
66600.000,15.920,150099.000,-89.265
80000.000,15.893,125169.000,-89.222
96000.000,15.873,104439.000,-89.234
100000.000,15.870,100283.000,-89.231
120000.000,15.844,83705.300,-89.223
125000.000,15.843,80360.500,-89.214
150000.000,15.838,66990.800,-89.178
160000.000,15.819,62878.000,-89.162
166000.000,15.808,60645.000,-89.153
200000.000,15.759,50493.300,-89.106
240000.000,15.736,42137.600,-89.089
250000.000,15.731,40465.100,-89.087
300000.000,15.699,33791.200,-89.069
320000.000,15.698,31679.700,-89.076
333000.000,15.697,30444.900,-89.082
400000.000,15.695,25349.100,-89.105
480000.000,15.672,21154.400,-89.024
500000.000,15.668,20313.800,-89.004
600000.000,15.651,16946.200,-89.002
640000.000,15.654,15884.600,-89.001
666000.000,15.655,15263.000,-89.000
800000.000,15.667,12697.100,-88.994
960000.000,15.688,10566.300,-88.953
1000000.000,15.976,9960.670,-88.950
#,#,#,#
