Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.207,10472000.000,-90.227
1200.000,14.386,9161910.000,-83.173
1250.000,14.189,8912010.000,-83.294
1500.000,13.364,7914910.000,-85.607
1600.000,13.680,7267790.000,-87.838
1660.000,13.887,6903440.000,-88.850
2000.000,15.070,5280300.000,-90.621
2400.000,15.111,4393960.000,-89.523
2500.000,15.123,4208610.000,-89.354
3000.000,14.973,3541520.000,-91.367
3200.000,14.955,3325210.000,-90.828
3330.000,14.957,3195110.000,-90.495
4000.000,15.094,2635570.000,-89.282
4800.000,15.060,2201330.000,-89.338
5000.000,15.050,2114600.000,-89.359
6000.000,15.119,1754540.000,-89.481
6400.000,15.097,1647120.000,-89.473
6660.000,15.084,1584160.000,-89.467
8000.000,15.029,1323770.000,-89.454
9600.000,15.010,1104390.000,-89.758
10000.000,15.008,1060400.000,-89.829
12000.000,14.969,885961.000,-89.599
12500.000,14.978,850036.000,-89.611
15000.000,15.013,706701.000,-89.658
16000.000,15.005,662903.000,-89.569
16600.000,14.999,639171.000,-89.516
20000.000,14.985,531010.000,-89.214
24000.000,14.938,443889.000,-89.425
25000.000,14.930,426383.000,-89.481
30000.000,14.979,354166.000,-89.387
32000.000,14.951,332661.000,-89.593
33300.000,14.940,319912.000,-89.739
40000.000,14.968,265812.000,-90.536
48000.000,14.917,222292.000,-89.726
50000.000,14.918,213373.000,-89.542
60000.000,14.864,178450.000,-89.378
64000.000,14.856,167395.000,-89.361
66600.000,14.851,160909.000,-89.351
80000.000,14.828,134160.000,-89.310
96000.000,14.813,111909.000,-89.328
100000.000,14.810,107456.000,-89.324
120000.000,14.789,89678.800,-89.315
125000.000,14.789,86087.500,-89.305
150000.000,14.789,71743.800,-89.268
160000.000,14.772,67336.600,-89.253
166000.000,14.762,64945.100,-89.245
200000.000,14.717,54068.600,-89.196
240000.000,14.699,45111.400,-89.179
250000.000,14.695,43319.900,-89.176
300000.000,14.667,36168.900,-89.158
320000.000,14.668,33906.700,-89.167
333000.000,14.668,32581.700,-89.171
400000.000,14.671,27120.400,-89.198
480000.000,14.651,22629.500,-89.113
500000.000,14.648,21729.200,-89.091
600000.000,14.635,18123.900,-89.089
640000.000,14.638,16987.300,-89.089
666000.000,14.640,16321.900,-89.087
800000.000,14.654,13575.100,-89.079
960000.000,14.677,11294.900,-89.034
1000000.000,14.966,10633.200,-89.033
#,#,#,#
