Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,14.511,10968800.0,-90.218
1200.0,13.7,9609970.0,-82.76
1250.0,13.505,9357720.0,-82.902
1500.0,12.682,8340490.0,-85.279
1600.0,12.99,7649840.0,-87.694
1660.0,13.195,7263340.0,-88.764
2000.0,14.382,5533400.0,-90.595
2400.0,14.416,4599400.0,-89.483
2500.0,14.433,4410150.0,-89.275
3000.0,14.281,3713880.0,-91.379
3200.0,14.262,3486690.0,-90.818
3330.0,14.265,3350420.0,-90.473
4000.0,14.398,2762830.0,-89.208
4800.0,14.361,2308670.0,-89.263
5000.0,14.355,2217290.0,-89.283
6000.0,14.421,1839220.0,-89.407
6400.0,14.398,1727020.0,-89.4
6660.0,14.385,1661170.0,-89.394
8000.0,14.33,1388470.0,-89.379
9600.0,14.307,1158720.0,-89.699
10000.0,14.306,1112510.0,-89.772
12000.0,14.266,929678.0,-89.53
12500.0,14.274,891961.0,-89.543
15000.0,14.308,741560.0,-89.594
16000.0,14.299,695683.0,-89.498
16600.0,14.293,670775.0,-89.445
20000.0,14.277,557359.0,-89.127
24000.0,14.229,466052.0,-89.347
25000.0,14.221,447670.0,-89.409
30000.0,14.267,371836.0,-89.308
32000.0,14.239,349290.0,-89.525
33300.0,14.228,335932.0,-89.679
40000.0,14.255,279121.0,-90.518
48000.0,14.201,233476.0,-89.666
50000.0,14.202,224120.0,-89.472
60000.0,14.147,187490.0,-89.3
64000.0,14.139,175872.0,-89.283
66600.0,14.133,169076.0,-89.273
80000.0,14.109,140994.0,-89.23
96000.0,14.093,117629.0,-89.246
100000.0,14.09,112948.0,-89.243
120000.0,14.068,94277.6,-89.237
125000.0,14.068,90503.7,-89.227
150000.0,14.065,75432.2,-89.189
160000.0,14.048,70806.8,-89.173
166000.0,14.038,68293.4,-89.163
200000.0,13.991,56870.5,-89.111
240000.0,13.972,47458.7,-89.095
250000.0,13.967,45574.6,-89.093
300000.0,13.938,38059.9,-89.075
320000.0,13.938,35679.8,-89.084
333000.0,13.938,34287.0,-89.088
400000.0,13.938,28544.4,-89.118
480000.0,13.916,23823.3,-89.028
500000.0,13.912,22876.9,-89.006
600000.0,13.896,19086.2,-89.005
640000.0,13.898,17890.6,-89.006
666000.0,13.899,17191.0,-89.003
800000.0,13.909,14301.9,-88.997
960000.0,13.926,11903.7,-88.953
1000000.0,14.212,11197.3,-88.961
