Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,16.891,9421760.0,-90.162
1200.0,16.052,8207740.0,-83.824
1250.0,15.875,7975890.0,-83.957
1500.0,15.048,7024410.0,-85.983
1600.0,15.363,6469730.0,-88.029
1660.0,15.576,6154410.0,-88.927
2000.0,16.754,4750010.0,-90.504
2400.0,16.79,3949720.0,-89.585
2500.0,16.808,3787690.0,-89.373
3000.0,16.659,3184480.0,-91.18
3200.0,16.638,2989460.0,-90.687
3330.0,16.639,2872430.0,-90.394
4000.0,16.776,2371670.0,-89.302
4800.0,16.736,1981120.0,-89.346
5000.0,16.729,1902690.0,-89.369
6000.0,16.793,1579550.0,-89.475
6400.0,16.771,1482740.0,-89.464
6660.0,16.758,1425940.0,-89.463
8000.0,16.699,1191210.0,-89.442
9600.0,16.679,993933.0,-89.713
10000.0,16.677,954308.0,-89.775
12000.0,16.636,797235.0,-89.566
12500.0,16.645,764932.0,-89.575
15000.0,16.677,636198.0,-89.614
16000.0,16.667,596789.0,-89.531
16600.0,16.662,575422.0,-89.485
20000.0,16.644,478071.0,-89.207
24000.0,16.595,399593.0,-89.39
25000.0,16.586,383818.0,-89.441
30000.0,16.631,318972.0,-89.352
32000.0,16.602,299565.0,-89.535
33300.0,16.59,288087.0,-89.668
40000.0,16.616,239472.0,-90.383
48000.0,16.56,200225.0,-89.648
50000.0,16.56,192209.0,-89.48
60000.0,16.503,160727.0,-89.329
64000.0,16.493,150766.0,-89.312
66600.0,16.488,144931.0,-89.303
80000.0,16.46,120858.0,-89.262
96000.0,16.442,100830.0,-89.273
100000.0,16.438,96815.3,-89.27
120000.0,16.413,80804.9,-89.262
125000.0,16.412,77576.9,-89.253
150000.0,16.407,64665.6,-89.218
160000.0,16.389,60691.9,-89.201
166000.0,16.378,58535.8,-89.193
200000.0,16.329,48730.5,-89.147
240000.0,16.307,40663.2,-89.132
250000.0,16.302,39048.3,-89.128
300000.0,16.27,32604.3,-89.111
320000.0,16.27,30568.0,-89.12
333000.0,16.269,29374.8,-89.124
400000.0,16.268,24457.2,-89.144
480000.0,16.246,20407.7,-89.066
500000.0,16.241,19596.5,-89.046
600000.0,16.226,16345.8,-89.044
640000.0,16.229,15321.4,-89.042
666000.0,16.231,14721.6,-89.04
800000.0,16.244,12246.1,-89.033
960000.0,16.268,10189.5,-88.992
1000000.0,16.557,9611.56,-88.988
