Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,16.199,9828210.0,-90.005
1200.0,15.355,8571590.0,-83.432
1250.0,15.173,8338410.0,-83.532
1500.0,14.358,7369180.0,-85.635
1600.0,14.657,6783460.0,-87.779
1660.0,14.856,6450680.0,-88.771
2000.0,16.041,4961230.0,-90.393
2400.0,16.061,4128440.0,-89.453
2500.0,16.085,3956820.0,-89.224
3000.0,15.933,3329530.0,-91.11
3200.0,15.912,3125410.0,-90.605
3330.0,15.912,3003560.0,-90.292
4000.0,16.041,2479610.0,-89.151
4800.0,16.006,2071480.0,-89.215
5000.0,15.994,1989980.0,-89.229
6000.0,16.058,1652040.0,-89.344
6400.0,16.032,1551080.0,-89.34
6660.0,16.017,1491770.0,-89.333
8000.0,15.958,1246590.0,-89.324
9600.0,15.932,1040340.0,-89.603
10000.0,15.931,999014.0,-89.676
12000.0,15.886,834850.0,-89.463
12500.0,15.894,801028.0,-89.47
15000.0,15.924,666264.0,-89.516
16000.0,15.913,625044.0,-89.434
16600.0,15.907,602668.0,-89.382
20000.0,15.887,500825.0,-89.097
24000.0,15.836,418715.0,-89.295
25000.0,15.827,402220.0,-89.349
30000.0,15.87,334258.0,-89.259
32000.0,15.84,313967.0,-89.453
33300.0,15.828,301953.0,-89.591
40000.0,15.851,251018.0,-90.345
48000.0,15.795,209926.0,-89.577
50000.0,15.795,201518.0,-89.404
60000.0,15.736,168561.0,-89.247
64000.0,15.726,158118.0,-89.232
66600.0,15.72,152006.0,-89.221
80000.0,15.691,126773.0,-89.181
96000.0,15.672,105778.0,-89.194
100000.0,15.668,101572.0,-89.191
120000.0,15.641,84787.5,-89.181
125000.0,15.64,81400.7,-89.173
150000.0,15.634,67861.7,-89.136
160000.0,15.615,63697.1,-89.122
166000.0,15.604,61435.4,-89.111
200000.0,15.554,51156.7,-89.063
240000.0,15.53,42695.3,-89.047
250000.0,15.525,41000.7,-89.044
300000.0,15.492,34241.1,-89.025
320000.0,15.491,32103.1,-89.032
333000.0,15.49,30851.4,-89.036
400000.0,15.486,25689.7,-89.061
480000.0,15.462,21440.9,-88.978
500000.0,15.457,20589.2,-88.957
600000.0,15.439,17177.7,-88.954
640000.0,15.441,16102.2,-88.953
666000.0,15.442,15472.7,-88.951
800000.0,15.451,12873.2,-88.943
960000.0,15.47,10714.6,-88.9
1000000.0,15.753,10101.3,-88.903
